Tech,Health,Finance,Consumer,Energy,Weapons
1.251554114651169,1.082630774704089,1.2957114050828238,1.2810070036834886,1.2622798708960223,1.0845376269735587
1.2491746627023506,1.0930254045744923,1.2913857935067155,1.2698553145085154,1.2589520500452631,1.0964923358687544
1.2480260648269421,1.0959793671945217,1.2918576718704557,1.2726899453477358,1.255296962288344,1.0932994086152035
1.2501895671243721,1.090715244775712,1.2981521167950014,1.2756136056284837,1.2438043116698885,1.0845461273297445
1.2534163009377133,1.0896437371922398,1.309314794000314,1.2662216422538755,1.2502404779080474,1.081703701128452
1.248020511262404,1.0820317360343208,1.3273090035967055,1.2609073081556428,1.2446152602828602,1.0709637208339882
1.2427906922226704,1.0878891118475125,1.3296629112828626,1.2729757540058837,1.2364042091813268,1.0830070288052016
1.236354917589892,1.0863540403642407,1.3322559697424967,1.2709004559050385,1.2110080944935826,1.0839291834412843
1.2289700162203385,1.0748433039326735,1.3344139512337359,1.2534711564032595,1.1987180548762124,1.0873455854152583
1.1987108912047526,1.073908372759859,1.354246307774773,1.2472909961977712,1.1789862252471295,1.0875062640671906
1.1973113271997955,1.0691320982056893,1.3708362704753492,1.2590031236847543,1.1840070001562821,1.099455464643542
1.2025691774639131,1.0751463837485737,1.405709047121703,1.2538235455319027,1.195628056059022,1.121743096780058
1.16691568016075,1.0726612752505622,1.3814247717238994,1.2261253656729723,1.1606254284006778,1.0957773957710053
1.174595277626653,1.0633683599885897,1.350645633416138,1.2244639995801005,1.1461454546044907,1.0645452256348251
1.211945534225178,1.0700014708326844,1.3838288418344942,1.2530020343584451,1.1912932933062255,1.0818770860423923
1.1971700892819297,1.0674136070899638,1.3771447574069482,1.2420111773674922,1.1790820584306998,1.095455049652912
1.1671989941817962,1.0686104125241502,1.395560650123109,1.2181077059802077,1.1461611629887725,1.1003042411791506
1.1639242958635518,1.0604659193135013,1.382179915544919,1.1987541331379088,1.1374357573578662,1.0923170601857228
1.187680234572761,1.0835004637962677,1.39719616713737,1.2099555793741625,1.1402828500815083,1.102543121102067
1.1481443852112623,1.08928256227871,1.4163984082407233,1.2323988317743815,1.1291647892233385,1.1114988475339
1.179850705337039,1.0929084851764694,1.4029569302612066,1.2370196275515044,1.1676355457070227,1.094516714983635
1.1744041145260993,1.0988707074330026,1.432604391572131,1.2424583372835607,1.177076320901311,1.1086411976606254
1.2001775521857536,1.1002077753554824,1.4348263447800869,1.264461106724613,1.2037252198545514,1.109076158033396
1.1848008851052305,1.1067307098618029,1.44570243698555,1.259867911879236,1.2169917879468852,1.1195685398466388
1.1937602855450584,1.1113710869891587,1.4385407607423035,1.271379708073666,1.2087158219996301,1.136266845933629
1.2087577549783974,1.1187126708767465,1.43447420626732,1.2665040083506627,1.1990873849647528,1.1308471164474219
1.2047457530943517,1.114364926888307,1.4397587395364426,1.2751637135145588,1.1767682588023571,1.1472605827096982
1.1698874220017077,1.123874382819308,1.4551216447696766,1.2492722955819884,1.1376323275930442,1.152949430125495
1.1688517251486443,1.1240095375175028,1.4120458006546182,1.23674209196372,1.1454814595547558,1.1437208963721444
1.1885522739250924,1.1313545271617034,1.391268907170247,1.2476048053213942,1.1550234540256052,1.1463634620228402
1.1912851085764622,1.1259836508475052,1.3776060229234852,1.2388003078671292,1.1566215691933923,1.1333074371358953
1.1782743127770476,1.1344276401480866,1.3809935204360753,1.2114639854446376,1.1592007318857036,1.1401209481826322
1.1745708366447916,1.135704841712963,1.3961518942055342,1.1972058628085611,1.1614406638735142,1.1617286572074215
1.1818730053940905,1.1542773898388816,1.4289471762138926,1.2093426418893551,1.198985471855455,1.1660504306545085
1.184340520278356,1.1634307775393993,1.4191753073805735,1.2116685574783073,1.1818027385853638,1.177257025067493
1.173726972098833,1.1499971603369084,1.4273933059239527,1.2088363672217275,1.1976244314599858,1.1750250444903783
1.1901753068116887,1.1482088528297436,1.4164206444104364,1.2115767559744925,1.2025972182433355,1.172322793645283
1.2172639202006186,1.140265230246288,1.4422129348951476,1.2289572494803453,1.2093658394435127,1.1722904422398406
1.2547463001813761,1.1446766313348928,1.4505378530906134,1.2444624254061523,1.1943095277098315,1.1938157642629754
1.2535939211026759,1.1361757507531371,1.444941351585849,1.2530579442969676,1.202446975722088,1.1926176343896382
1.2673109807350489,1.136534980185291,1.4582222690536384,1.253592455575911,1.1881717091754445,1.19773224089226
1.2840583324977157,1.1348034362460042,1.4577405425774954,1.2468420507955773,1.1867622190709994,1.205807255623492
1.3009825019054726,1.1493716879674405,1.4689308567007207,1.262792946180823,1.1790612495537216,1.2148078591905178
1.2894473842097571,1.1541510995914201,1.4664435322398015,1.2642521177564023,1.1707000067115194,1.2196118350778977
1.3066069288521778,1.1491673584066031,1.4505907395992528,1.2550016404482256,1.1804025035163555,1.2110864695374315
1.2915572091808816,1.1514830888114007,1.4505401148176142,1.2471911261375384,1.1901294853370634,1.2178912268924236
1.3141821197849826,1.1717452837868416,1.449154422112942,1.2539789395956984,1.1859716500489925,1.2232802991692027
1.3153778010723158,1.1873280765476697,1.4581313736171024,1.2614875515655315,1.2027132901639352,1.227996767430695
1.3151223639601086,1.1909355985904977,1.4549877480243019,1.2530287635730402,1.1960937743555116,1.227734431916854
1.30701501943153,1.2080157444253412,1.4253613286620337,1.2208638030459533,1.187166040249243,1.215920394560745
1.3121405746002872,1.2157556139395238,1.446262256226656,1.2338439424436123,1.2010596305699628,1.2256309604954103
1.2964674408327932,1.2008948848786096,1.4318828337384626,1.2242970406320168,1.2143890638783519,1.2149429790175668
1.3199792914535966,1.205731789558458,1.4563155209947247,1.2319952154759513,1.2227219456522955,1.21957842500481
1.3241374960086014,1.1980724505469014,1.4610786867581307,1.2476210164081645,1.2275746384186421,1.2111393965208832
1.3200432481881001,1.1920384520178722,1.4682097594580739,1.251096120100559,1.2290706807243268,1.2239803175972126
1.3188275805754817,1.1929273662645434,1.480757000238692,1.2488652792242858,1.2358878481245752,1.223203845184244
1.324190379695426,1.203239385360679,1.510881084550415,1.2629321807340006,1.2359180821655906,1.2469637757216978
1.3133424580011523,1.1974215019082777,1.4922805347856776,1.2620059582447636,1.1748000306701742,1.2516688810613104
1.3136679174717858,1.2227964081131768,1.4891701866282316,1.2523346612433008,1.1776281400971684,1.2691095502853662
1.2836157191161777,1.2358030954835708,1.5001792699388778,1.235656954598225,1.1648259492768869,1.2788300357711762
1.2826256441389574,1.2354522662849614,1.5054195598806979,1.2264581350757129,1.1697025380635377,1.2842131103006902
1.2982187878546034,1.2315331915460899,1.527654300158921,1.2355255719923042,1.1706436839436039,1.2847121694037151
1.3076681375815475,1.240129568056872,1.5332189444174225,1.2539248021788443,1.1842110736525275,1.2939089784207072
1.2769404295191644,1.2506030686052294,1.5180395603891383,1.2355868037535906,1.1737349410046543,1.2973202411077212
1.2661700922757915,1.2327640391232952,1.5027545607039443,1.2361976698832942,1.155849384898761,1.2814951630762343
1.230513902860825,1.2283419180655089,1.4838365874752115,1.2071250571460004,1.1276157972955394,1.2572075014300585
1.2489734980320841,1.2400779907091377,1.5114585347532408,1.2101138697905707,1.127847491738287,1.2806936116184913
1.275980060098644,1.2411402424666802,1.5327561805795138,1.214461020497718,1.1559691035226078,1.2964958621444191
1.2679157020928322,1.2413026524992217,1.5382698591494222,1.21341899774265,1.1530755682988083,1.3018094288581803
1.2562694153327378,1.2426013866168009,1.5221173798083603,1.205233998767394,1.1487952896960272,1.2865715095168049
1.2567615607086202,1.2385388543268598,1.5137512849702146,1.196498305468172,1.1513531167152182,1.2865095615246944
1.27995076122575,1.243080826908065,1.5158284622648635,1.2043123708195156,1.171458483831455,1.290928007110007
1.2693926993896565,1.244090486929899,1.5287100348420295,1.1993983841274576,1.1691603323539304,1.290902026985633
1.2958176762951346,1.2409576350807523,1.5399610339855434,1.2132779705707457,1.168754805837399,1.2968041604412055
1.2971877714662892,1.2369439618848863,1.5265193163562671,1.2201301609791542,1.1534609603527086,1.2910871675338653
1.3010125557583911,1.2303569535629424,1.52248729703703,1.229366963916923,1.1725053787043251,1.2865625612174543
1.2863579235111853,1.226374988305252,1.5360771868896177,1.229948073631012,1.1644607045309445,1.3050368688713947
1.2863163138038294,1.2275140093120556,1.534802215902862,1.2278612938673128,1.160233751587097,1.2943099766211008
1.2845102148463785,1.2109255058614354,1.545328771825407,1.2218865782697237,1.172184067664684,1.295060865417258
1.2855213062261674,1.2147363018400676,1.552486728412035,1.2186077641846456,1.1788891524232046,1.2987748775229235
1.2746079239900738,1.2183305406855702,1.5530728968884986,1.2109627489967594,1.170480620036276,1.300734618215905
1.2998048173157257,1.2177256934349714,1.558760516967519,1.2142551089102118,1.174473678411538,1.322965426587691
1.3075889981724733,1.2079096025660305,1.5571884248754124,1.213420175281702,1.1683443892559762,1.3131961861080796
1.3113298584091113,1.204420963271047,1.5538694769895771,1.2184602752087068,1.178392833037236,1.311366556356526
1.3159453932538856,1.2191077396711638,1.5412188338691688,1.2153133984821622,1.1877637275270732,1.308243182033969
1.3240567696707237,1.232040126329829,1.5291892683206212,1.2223478520526494,1.212693207840756,1.3062302543355377
1.3281692344953813,1.217796293985163,1.5331188659522597,1.2268603487839962,1.204774370424796,1.3119737497499175
1.344792626126733,1.214843441118104,1.5164287859425016,1.2314329383826725,1.1981999821654843,1.3097986016266234
1.338136057829821,1.2134160740873199,1.506753000100418,1.2226549532941036,1.200999026072847,1.3171681640899102
1.3370079893046118,1.2072439745391046,1.5057853754463366,1.224087442923361,1.2053235878632114,1.3021543374857818
1.3511103799150412,1.2111218171505351,1.4749252480470156,1.2282728723942191,1.2049799282158369,1.2908881493804147
1.3411642437173157,1.1882461889685383,1.446200414249025,1.2211509666028248,1.1796973301138962,1.27898100852248
1.356143546502074,1.207869772322063,1.4746188720746884,1.2262586717046506,1.2058226106512078,1.3001056752033882
1.368787419876882,1.2098968484979535,1.4799978510813254,1.238788246066766,1.213315803533144,1.2961938552117973
1.3654886207277104,1.198588689860968,1.4832115332217222,1.2448853146625702,1.221487721117733,1.2838636587895282
1.3698910507993405,1.2051821881222473,1.498793687407423,1.2461147444480296,1.242460817679675,1.2848593245811495
1.364975183915017,1.2112187014731037,1.5157889241950153,1.3058735714003076,1.2653947399894796,1.2932765903934758
1.376406997544147,1.2087220167963981,1.5091021055759477,1.3013469388815848,1.2852313372449582,1.2795040486476135
1.3833612211407638,1.2051684789561723,1.5043701665732994,1.3056175106790902,1.276295066803057,1.2572788638861785
1.382072068187728,1.209885102775026,1.5085675175114783,1.3051400080734938,1.2649097888392777,1.2707588146787112
1.388174465434387,1.2214729652683989,1.520187487320261,1.3178028287755035,1.269764976971598,1.2822543415154404
1.416156412399203,1.235126702184847,1.5195419518337216,1.332250455556988,1.2727273271130661,1.2878984872983348
1.4269793319610116,1.2290115433825848,1.499801975817872,1.3455433476472145,1.267221789992708,1.2782188085750277
1.4405320888653927,1.2345472051777004,1.4972306579546315,1.3459797399517324,1.262109196968672,1.2882121263754844
1.4284849489465599,1.2309904344597071,1.4693915343825705,1.35147180771946,1.2528430945632467,1.2807479092862712
